"client_id","birth_year","balance_sd","balance_avg"
1,1970,4168.72938418548,17558.7
2,1945,12061.7056818761,32590.6240740741
3,1940,12061.7056818761,32590.6240740741
5,1960,NA,NA
4,1956,NA,NA
6,1919,5779.86204613468,23648.6230769231
7,1929,NA,NA
8,1938,5582.67604095098,30313.2798387097
9,1935,15114.7493293802,23088.85
10,1943,11961.3897643149,49640.44
11,1950,11961.3897643149,49640.44
12,1981,9954.96273814526,27558.1204081633
13,1974,16648.7150075483,35311.8615384615
14,1942,7145.8980333482,20782.1660714286
15,1918,NA,NA
16,1919,NA,NA
17,1934,NA,NA
18,1931,NA,NA
19,1942,11850.4140647771,18106.9
20,1979,10452.8746984305,41623.9864253394
21,1952,NA,NA
22,1969,NA,NA
23,1973,NA,NA
24,1939,28240.4613556551,43914.8267379679
25,1939,15039.2484049323,25197.0925
26,1969,4751.32218440299,6510
27,1966,NA,NA
28,1945,10068.8887510376,38711.6195402299
29,1951,11831.8965347355,44445.3632478632
30,1957,10946.7896239034,13640.2
31,1962,22476.3479797752,62991.2646341463
32,1980,14005.848096845,34495.1644144144
33,1948,6712.28654824353,24505.1481132075
37,1970,9464.42258011888,35945.5367231638
36,1978,9464.42258011888,35945.5367231638
38,1973,27317.7488695096,54255.8941176471
39,1968,25917.5353436563,64057.862
40,1957,12302.5874724203,47728.7030769231
41,1968,14573.0145828556,60322.3671361502
42,1935,17282.1875161593,54321.2443548387
43,1920,5396.81734199967,21336.8929460581
44,1977,12201.6942334605,42214.8659836066
45,1952,23451.6471800356,39953.9706896552
46,1940,10950.8115328546,31383.4490909091
47,1934,4819.69759185146,26628.7253164557
48,1940,7788.76190638249,24650.1230769231
49,1959,NA,NA
50,1978,9638.09532165099,22486.5615384615
51,1979,12934.3112173182,60865.8627118644
52,1924,3739.08405491987,17494.0487309645
53,1977,NA,NA
55,1948,18679.5289958506,47380.0247159091
56,1960,15682.653277507,23980.925
57,1961,15682.653277507,23980.925
58,1927,NA,NA
59,1957,8228.67306698657,34392.0894736842
60,1980,13767.7842860781,42637.2258064516
61,1948,NA,NA
62,1932,4524.55009627546,17425.2923076923
63,1959,3571.24387075712,15664.0966292135
64,1926,5051.81362038934,17725.196875
65,1943,7705.22456646197,31509.127672956
66,1951,13177.0316399288,44657.9422018349
67,1932,9195.79525269695,15329.4571428571
68,1946,9960.02150088902,40433.1631336406
71,1927,4598.36821562778,20520.2270408163
70,1925,4598.36821562778,20520.2270408163
72,1923,4569.66917253426,25276.4706896552
73,1924,3552.50446868121,3112
74,1925,3552.50446868121,3112
75,1977,NA,NA
76,1967,19556.687586725,32064.1857142857
77,1956,24032.4520675394,66326.3825396825
