"client_id","gender","birth_year","region","no..of.inhabitants","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","frequency","loan_id","amount","duration","payments","status","balance_avg","balance_sd"
2,1,1945,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,4959,80952,24,3373,1,32590.6240740741,12061.7056818761
25,0,1939,2,103347,"67.0",9104,1.51,2.07,123,"2299",2354,0,4961,30276,12,2523,-1,25197.0925,15039.2484049323
78,0,1944,2,93931,"56.9",8427,1.12,1.54,107,"1874",1913,0,4973,165960,24,6915,1,52523.2448,20955.6469983724
158,0,1945,4,128118,"85.3",9317,6.49,7.07,97,"6949",6872,2,4996,88440,12,7370,1,62778.0903225806,21638.2588696712
210,1,1939,6,125832,"48.3",8512,3.51,4.12,102,"2247",2103,0,5002,104808,12,8734,1,38709.83,11517.1752482123
352,1,1940,6,124605,"46.0",8772,4.69,4.98,126,"2854",3158,0,5032,123696,48,2577,1,49084.3819672131,20572.4575297371
421,1,1965,6,387570,"100.0",9897,1.6,1.96,140,"18721",18696,0,5044,100980,60,1683,1,35614.7442857143,9576.32771690869
424,1,1947,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,5045,187224,24,7801,-1,42084.3113636364,22038.4815890867
512,0,1965,6,110643,"51.9",8441,3.45,4.48,115,"1879",2252,0,5060,252060,60,4201,-1,57340.5081967213,21418.9138558837
603,0,1966,1,53921,"41.3",8598,2.77,3.26,123,"1597",1875,0,5082,262980,60,4383,1,41729.6160714286,16330.1732223154
655,1,1942,4,105058,"81.0",9272,2.8,3.22,118,"4340",4505,0,5088,91152,24,3798,1,44829.5441558442,13400.0640966406
944,1,1970,4,119895,"89.9",10446,7.34,9.4,90,"4947",4743,0,5125,73056,48,1522,1,23255.1490196078,6550.59542995513
946,1,1951,6,387570,"100.0",9897,1.6,1.96,140,"18721",18696,0,5126,208128,48,4336,-1,36369.975,22812.186440376
968,1,1957,7,42821,"48.4",8173,7.01,7.01,124,"1358",1358,0,5128,215616,48,4492,-1,21447.6245901639,13056.9873065428
976,0,1955,2,93931,"56.9",8427,1.12,1.54,107,"1874",1913,0,5130,24312,12,2026,1,29380.8397435897,7695.86280086246
980,1,1961,4,128118,"85.3",9317,6.49,7.07,97,"6949",6872,0,5131,48624,24,2026,1,63857.2367521367,25825.8581816605
981,1,1960,1,95616,"51.4",9307,3.85,4.43,118,"2616",3040,0,5132,538500,60,8975,1,33687.8586206897,13408.0203646534
1020,0,1977,7,226122,"62.6",8994,3.8,4.79,110,"9672",9208,0,5136,187104,24,7796,1,66292.372,34581.4013483708
1029,0,1954,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,5138,87216,48,1817,1,30847.1493243243,6554.7605128343
1102,1,1935,7,226122,"62.6",8994,3.8,4.79,110,"9672",9208,0,5145,309552,48,6449,1,56105.5,21979.384405419
1133,0,1958,4,114006,"62.3",9065,4.46,5.39,123,"4147",4166,0,5148,284280,60,4738,1,64182.6414893617,20167.8024295163
1157,0,1958,1,149893,"67.4",9753,4.64,5.05,109,"5244",5892,2,5151,189060,60,3151,1,72242.8966666667,24683.0632141581
1215,1,1944,5,77917,"53.5",8390,2.28,2.89,132,"2080",2122,0,5160,204000,60,3400,1,37809.3984615385,12656.7828254321
1216,0,1945,6,114200,"43.7",8403,5.74,5.72,105,"2157",2718,0,5161,98184,24,4091,1,41660.3928571429,19672.650902027
1286,0,1950,5,139012,"61.9",8363,2.52,3.49,108,"2564",2799,1,5170,253200,60,4220,1,47302.5463414634,26552.7395045982
1327,0,1963,2,70646,"58.4",8547,2.65,3.64,120,"1563",1542,1,5176,192552,24,8023,-1,23979.0117647059,13015.0266748654
1404,0,1968,1,75637,"36.5",9622,0.45,0.59,154,"3475",3529,0,5189,149040,48,3105,1,36845.5888888889,12658.2467643
1505,0,1971,6,114200,"43.7",8403,5.74,5.72,105,"2157",2718,0,5208,99696,48,2077,-1,46341.2935185185,28762.2069360507
1509,0,1942,6,145688,"40.7",8544,1.29,1.86,109,"2719",2906,0,5209,182640,48,3805,1,37802.23,14199.3815228476
1516,0,1946,4,85852,"59.8",8965,7.08,8.23,104,"2653",2822,0,5212,71064,36,1974,1,34577.3023255814,9923.17154112448
1663,1,1957,2,51428,"52.7",8402,3.13,3.98,120,"999",1099,0,5237,45336,24,1889,1,48152.9533333333,11574.1022400041
1851,0,1975,3,51313,"59.2",8930,3.52,4.2,108,"1328",1452,2,5269,164052,36,4557,-1,41752.1615384615,30609.3898880806
1917,0,1969,7,42821,"48.4",8173,7.01,7.01,124,"1358",1358,2,5282,388512,48,8094,-1,21371.32,21196.6821317327
1944,0,1957,3,51313,"59.2",8930,3.52,4.2,108,"1328",1452,0,5285,78936,12,6578,1,25900.3196078431,7684.86970531107
2063,0,1950,7,228848,"57.2",9893,4.09,4.72,96,"5623",5887,0,5301,141948,36,3943,1,32592.68,17970.9789771546
2136,0,1940,3,72541,"36.9",8594,1.62,2.01,112,"1580",1525,0,5310,248148,36,6893,1,36063.7883333333,10761.578895609
2141,1,1951,3,72541,"36.9",8594,1.62,2.01,112,"1580",1525,0,5311,30060,60,501,1,37213.4075268817,11270.5037458701
2148,0,1953,3,51313,"59.2",8930,3.52,4.2,108,"1328",1452,1,5312,202788,36,5633,1,57124.2683544304,23297.6635746445
2166,0,1947,3,94812,"81.8",9650,3.38,3.67,100,"2985",2804,1,5314,96396,12,8033,-1,12250,8330.8663014919
2181,1,1968,5,112709,"73.5",8369,1.79,2.31,117,"2854",2618,0,5316,165960,36,4610,1,52083.8594594595,29122.0594539456
2195,0,1942,7,228848,"57.2",9893,4.09,4.72,96,"5623",5887,0,5319,239460,60,3991,1,40061.5804347826,16062.5321384148
2235,0,1940,2,177686,"74.8",10045,1.42,1.71,135,"6604",6295,0,5325,105804,36,2939,1,41297.48,14151.2604430371
2259,0,1950,2,51428,"52.7",8402,3.13,3.98,120,"999",1099,1,5329,396120,60,6602,1,58855.2778947368,20275.1419809661
2288,0,1957,4,105058,"81.0",9272,2.8,3.22,118,"4340",4505,0,5337,162468,36,4513,1,51279.5533333333,24180.8889239258
2392,1,1955,3,170449,"100.0",10787,2.64,3.09,131,"6041",6261,1,5350,249312,48,5194,1,35914.855,23021.0410612378
2403,0,1963,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,1,5351,205200,36,5700,1,58336.311627907,17204.0709095607
2422,0,1976,7,228848,"57.2",9893,4.09,4.72,96,"5623",5887,0,5352,68400,12,5700,-1,31793.7357142857,12297.1550986777
2501,0,1940,7,285387,"89.9",10177,6.63,7.75,81,"9878",10108,0,5366,86184,12,7182,1,60273.6785714286,25642.0771571919
2550,0,1976,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,5375,101520,12,8460,1,26449.0921052632,10352.391968575
2592,0,1980,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,5385,71460,36,1985,1,49220.9806451613,16380.594606473
2606,1,1943,3,51313,"59.2",8930,3.52,4.2,108,"1328",1452,1,5388,61560,12,5130,1,32967.7126760563,17762.2246702773
2623,0,1965,2,93931,"56.9",8427,1.12,1.54,107,"1874",1913,0,5390,170256,24,7094,1,40091.1831168831,13589.3839888406
2635,0,1966,7,106054,"63.1",8110,5.77,6.55,109,"3244",3079,0,5395,299088,36,8308,-1,51992.8547619048,33855.6980257672
2686,0,1951,2,51428,"52.7",8402,3.13,3.98,120,"999",1099,0,5409,182040,60,3034,1,67475.9016949153,21927.6795286742
2698,0,1970,3,51313,"59.2",8930,3.52,4.2,108,"1328",1452,1,5413,92976,24,3874,1,50436.4660550459,26490.3161352521
2700,1,1945,4,125236,"87.7",9675,6.43,7.68,100,"5323",5190,0,5414,185952,48,3874,1,50113.1941176471,31588.3799619124
2708,1,1958,7,182027,"56.4",8746,3.33,3.74,90,"4355",4433,0,5415,139464,36,3874,-1,31532.7483870968,12989.7812150903
2719,0,1964,3,45714,"55.6",8843,2.82,3.6,113,"818",888,0,5418,347952,48,7249,1,54157.1941666667,23422.0265006617
2746,1,1971,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,5429,20196,36,561,1,52636.5989583333,15288.6889647388
2809,1,1979,4,133777,"84.7",8705,5.75,7.61,116,"4650",4859,0,5445,46320,24,1930,1,43657.8134831461,20752.0889350489
2831,0,1980,7,228848,"57.2",9893,4.09,4.72,96,"5623",5887,0,5449,99336,24,4139,1,27019.5711538462,7892.72182874921
2834,1,1949,5,139012,"61.9",8363,2.52,3.49,108,"2564",2799,0,5450,199680,60,3328,1,33658.6175675676,11909.1687727066
2843,0,1966,7,285387,"89.9",10177,6.63,7.75,81,"9878",10108,0,5452,49440,60,824,1,47798.8654545455,12804.4639168701
2853,0,1956,3,72541,"36.9",8594,1.62,2.01,112,"1580",1525,0,5453,156672,36,4352,1,22927.5026666667,6686.14559025204
2922,1,1940,5,161854,"76.3",9425,1.72,2.5,125,"4085",3891,0,5464,95808,12,7984,1,59701.7866666667,24705.82136034
2966,1,1955,6,114200,"43.7",8403,5.74,5.72,105,"2157",2718,0,5470,200976,48,4187,1,47938.0657142857,18916.9395762718
3001,1,1958,0,1204953,"100.0",12541,0.29,0.43,167,"85677",99107,0,5479,24516,12,2043,1,55582.2260273973,29534.2181133033
3013,0,1950,5,121947,"70.5",8541,2.51,2.97,131,"3496",3839,0,5482,165120,60,2752,1,24377.3715517241,6878.83656641474
3103,0,1973,6,197099,"74.7",9624,1.6,2.31,145,"4484",4265,2,5494,360000,48,7500,1,51149.6551470588,26193.2113809294
3113,0,1971,6,110643,"51.9",8441,3.45,4.48,115,"1879",2252,0,5495,89340,60,1489,1,39644.7636363636,10748.387757632
3251,0,1962,5,139012,"61.9",8363,2.52,3.49,108,"2564",2799,0,5519,91632,12,7636,1,40976.9428571429,10641.4227535957
3264,0,1950,6,86513,"50.5",8288,3.79,4.52,110,"1562",1460,2,5523,93888,36,2608,1,37510.4947368421,14598.865783435
3335,1,1967,1,75637,"36.5",9622,0.45,0.59,154,"3475",3529,0,5533,111384,24,4641,1,65097.2243421053,26285.8630675545
3414,0,1947,1,75637,"36.5",9622,0.45,0.59,154,"3475",3529,0,5549,50460,60,841,1,37570.6279069767,10371.1237818631
3519,1,1949,7,323870,"100.0",10673,4.75,5.44,100,"18782",18347,0,5563,380160,60,6336,1,64777.0752293578,27227.8660788503
